date,index,close,open,high,low,volume,anger,disgust,joy,sadness,fear,su
2015-05-29,4611.744,-0.1800,-0.3636,1.6866,-4.0842,611262400.0,6832.0,5956.0,15293.0,5213.0,12984.0,49275.0
2015-06-01,4828.738,4.7100,0.4630,4.7218,0.0756,593389050.0,3765.0,4125.0,10699.0,2113.0,8515.0,31003.0
2015-06-02,4910.527,1.6900,0.3306,1.7155,-0.6458,623748100.0,4123.0,4958.0,9794.0,2358.0,8191.0,30919.0
2015-06-03,4909.978,-0.0100,0.2821,0.6423,-1.7938,611453850.0,4044.0,4552.0,9575.0,2539.0,8364.0,31086.0
2015-06-04,4947.102,0.7600,0.0604,0.7737,-5.3477,674952400.0,4802.0,5423.0,10475.0,4100.0,10708.0,38046.0
2015-06-05,5023.096,1.5400,1.3945,2.1128,-0.9912,772240800.0,4264.0,5079.0,10000.0,2843.0,8973.0,33169.0
2015-06-08,5131.881,2.1700,0.4499,2.4657,-0.5099,855035100.0,3930.0,4547.0,10336.0,2263.0,9452.0,31828.0
2015-06-09,5113.534,-0.3600,0.2747,0.3035,-1.7327,729893800.0,3778.0,5171.0,9766.0,2131.0,8891.0,31023.0
2015-06-10,5106.036,-0.1500,-1.2582,0.9901,-2.1911,596969000.0,4039.0,5773.0,10002.0,2449.0,8705.0,32286.0
2015-06-11,5121.593,0.3000,-0.0900,0.3216,-1.0825,563990500.0,3450.0,5052.0,9373.0,2326.0,8130.0,29528.0
2015-06-12,5166.35,0.8700,0.4247,1.1051,-0.3552,625627850.0,3910.0,5103.0,9506.0,2484.0,7086.0,30144.0
2015-06-15,5062.993,-2.0000,0.1562,0.2022,-2.2764,637804000.0,3714.0,5023.0,9761.0,2157.0,8173.0,30397.0
2015-06-16,4887.43,-3.4700,-1.1571,-0.6580,-4.3629,550801400.0,5095.0,5614.0,11863.0,3740.0,11720.0,41177.0
2015-06-17,4967.9,1.6500,0.0638,1.9689,-2.4596,537101150.0,4926.0,4851.0,9942.0,3033.0,9437.0,34259.0
2015-06-18,4785.36,-3.6700,-0.5109,-0.0227,-3.7648,507440900.0,4542.0,4823.0,9070.0,3129.0,9043.0,32489.0
2015-06-19,4478.36,-6.4200,-1.9942,-0.8626,-6.4543,452689650.0,7570.0,6614.0,17236.0,12730.0,17473.0,65999.0
2015-06-23,4576.49,2.1900,-0.1507,2.2236,-4.7694,473526150.0,4877.0,5229.0,10911.0,3380.0,12044.0,39671.0
2015-06-24,4690.15,2.4800,0.6138,2.5190,-0.5323,543003700.0,4021.0,4604.0,9549.0,2687.0,8714.0,31426.0
2015-06-25,4527.78,-3.4600,0.4608,0.6514,-4.4050,572797550.0,3710.0,5668.0,8542.0,3213.0,8766.0,31678.0
2015-06-26,4192.87,-7.4000,-2.8237,-1.5654,-8.5748,565217850.0,9391.0,8252.0,15566.0,10041.0,23200.0,72635.0
2015-06-29,4053.03,-3.3300,2.3111,2.4947,-7.5800,673786350.0,11242.0,10145.0,16331.0,10468.0,26009.0,86196.0
2015-06-30,4277.22,5.5300,-1.1419,5.5993,-5.0616,709176650.0,8565.0,7095.0,13100.0,7286.0,20396.0,61062.0
2015-07-01,4053.7,-5.2300,-1.4746,0.9312,-5.4673,598769450.0,9043.0,8253.0,14518.0,6262.0,19762.0,62922.0
2015-07-02,3912.77,-3.4800,0.1214,0.6584,-6.3757,586015600.0,13983.0,10020.0,17228.0,8660.0,31661.0,91017.0
2015-07-03,3686.92,-5.7700,-3.0429,0.3670,-7.2381,548163100.0,16245.0,10276.0,17961.0,12071.0,33465.0,97610.0
2015-07-06,3775.91,2.4100,7.8193,7.8193,-0.9189,831139300.0,13397.0,10789.0,20144.0,8646.0,26642.0,86952.0
2015-07-07,3727.12,-1.2900,-3.2080,-0.6711,-5.0454,698818700.0,16351.0,10433.0,18035.0,9937.0,29344.0,92230.0
2015-07-08,3507.19,-5.9000,-6.9684,-3.4308,-8.1991,680356900.0,19480.0,14239.0,21706.0,11198.0,32903.0,108649.0
2015-07-09,3709.33,5.7600,-2.1311,6.8799,-3.8107,656914600.0,14742.0,13043.0,23052.0,8404.0,27485.0,94480.0
2015-07-10,3877.8,4.5400,-0.0504,6.7368,-0.8600,586364250.0,8636.0,8302.0,15586.0,4993.0,19102.0,61467.0
2015-07-13,3970.39,2.3900,1.0622,3.9298,-0.4941,643489000.0,5191.0,5400.0,11290.0,2549.0,12839.0,39783.0
2015-07-14,3924.49,-1.1600,-0.3027,1.6381,-2.8922,670558800.0,4435.0,3862.0,9479.0,2111.0,12037.0,34095.0
2015-07-15,3805.7,-3.0300,-1.2618,-0.2604,-4.6691,601301300.0,4856.0,3721.0,7395.0,2348.0,11998.0,32938.0
2015-07-16,3823.18,0.4600,-1.2402,1.8869,-3.0812,492256200.0,4202.0,4532.0,7774.0,3202.0,10800.0,33143.0
2015-07-17,3957.35,3.5100,0.2155,4.4806,-0.2362,481726250.0,3572.0,3204.0,6905.0,2110.0,7254.0,24755.0
2015-07-20,3992.11,0.8800,-0.2257,1.6167,-0.7639,539106700.0,3601.0,3058.0,7447.0,1661.0,9118.0,26333.0
2015-07-21,4017.67,0.6400,-1.3078,1.2452,-1.9867,504288050.0,3792.0,3390.0,7413.0,1634.0,8138.0,25463.0
2015-07-22,4026.05,0.2100,-0.5287,0.6140,-1.4140,520732200.0,3604.0,3838.0,7505.0,1539.0,7833.0,25305.0
2015-07-23,4123.92,2.4300,-0.0939,2.6468,-0.1741,563585950.0,2851.0,3425.0,7782.0,1495.0,7058.0,23985.0
2015-07-24,4070.91,-1.2800,0.0201,1.4678,-1.9178,627424850.0,2975.0,2795.0,6784.0,1521.0,7820.0,23955.0
2015-07-27,3725.56,-8.4800,-2.0963,-0.4851,-8.6091,556003250.0,4716.0,3753.0,7435.0,3902.0,11676.0,35129.0
2015-07-28,3663.0,-1.6800,-4.0912,0.9923,-5.0516,563330050.0,5307.0,4029.0,6828.0,3217.0,13913.0,36458.0
2015-07-29,3789.17,3.4400,0.7322,3.5236,-1.3907,434352100.0,4355.0,3689.0,6607.0,2624.0,10223.0,29857.0
2015-07-30,3705.77,-2.2000,-0.4059,1.4568,-2.7238,457943250.0,3392.0,3409.0,6856.0,1994.0,8806.0,26681.0
2015-07-31,3663.73,-1.1300,-1.3519,0.6406,-2.3099,350955750.0,3351.0,3223.0,6289.0,2019.0,8155.0,25231.0
2015-08-03,3622.91,-1.1100,-1.3303,-0.4037,-3.1179,363968725.0,3109.0,3188.0,6147.0,1677.0,8295.0,24697.0
2015-08-04,3756.54,3.6900,-0.0293,3.7020,-0.5968,362901675.0,1922.0,1607.0,3779.0,885.0,4832.0,13988.0
2015-08-05,3694.57,-1.6500,-0.2899,0.6871,-2.1336,366422975.0,4049.0,4039.0,9291.0,1605.0,11955.0,32946.0
2015-08-06,3661.54,-0.8900,-1.8695,0.4331,-2.1607,274074675.0,3546.0,3794.0,8346.0,1390.0,11069.0,30030.0
2015-08-07,3744.2,2.2600,0.8486,2.6000,0.6762,340757175.0,4309.0,4514.0,8182.0,1404.0,11364.0,31230.0
2015-08-10,3928.42,4.9200,1.1172,5.3261,0.8453,497304300.0,4356.0,5458.0,10881.0,1690.0,13310.0,37567.0
2015-08-11,3927.91,-0.0100,0.0099,1.0671,-0.9480,538923450.0,4251.0,5513.0,11185.0,1589.0,14275.0,38590.0
2015-08-12,3886.32,-1.0600,-1.1884,0.2510,-1.4453,442688300.0,4199.0,5692.0,11794.0,3260.0,14962.0,42030.0
2015-08-13,3954.56,1.7600,-0.4223,1.7876,-1.2392,430073300.0,3661.0,4588.0,9792.0,1908.0,13052.0,34763.0
2015-08-14,3965.33,0.2700,0.5525,1.1662,-0.3722,467988200.0,3162.0,4875.0,10761.0,1982.0,11591.0,33788.0
2015-08-17,3993.67,0.7100,-0.4411,0.7366,-1.4609,460432050.0,3377.0,4676.0,13308.0,1567.0,13175.0,37602.0
2015-08-18,3748.16,-6.1500,0.1367,0.3173,-6.2669,543770800.0,5427.0,5607.0,14789.0,2978.0,17023.0,48297.0
2015-08-19,3794.11,1.2300,-2.7043,1.6880,-5.0633,475396250.0,4522.0,5593.0,11681.0,2481.0,16186.0,42621.0
2015-08-20,3664.29,-3.4200,-1.0421,-0.1608,-3.4395,390063050.0,3855.0,5013.0,10617.0,2041.0,13606.0,36856.0
2015-08-21,3507.74,-4.2700,-1.4827,-0.3125,-4.7417,369920475.0,4042.0,4478.0,9862.0,2570.0,16142.0,39413.0
2015-08-24,3209.91,-8.4900,-3.8275,-3.4033,-9.0047,334671800.0,6483.0,5023.0,13281.0,5101.0,28158.0,64448.0
2015-08-25,2964.97,-7.6300,-6.4108,-2.7066,-8.1613,352325100.0,9723.0,7145.0,12738.0,6323.0,31727.0,73152.0
2015-08-26,2927.29,-1.2700,0.5336,4.2857,-3.8537,466699650.0,11070.0,6124.0,13665.0,5210.0,26321.0,65747.0
2015-08-27,3083.59,5.3400,1.7333,5.4019,-0.7106,400308400.0,5526.0,5533.0,17795.0,3213.0,23373.0,59256.0
2015-08-28,3232.35,4.8200,1.3513,4.9374,0.6278,443136950.0,5349.0,5092.0,13777.0,2227.0,18442.0,47540.0
2015-08-31,3205.99,-0.8200,-0.8907,-0.7577,-3.8112,397431375.0,7159.0,5754.0,12376.0,2084.0,17718.0,47867.0
2015-09-01,3166.62,-1.2300,-1.5022,-0.8004,-4.7489,432432450.0,7255.0,4895.0,11735.0,2627.0,20319.0,49766.0
2015-09-02,3160.17,-0.2000,-4.3876,0.8798,-4.6589,438170150.0,5910.0,4160.0,9736.0,2634.0,15355.0,40531.0
2015-09-07,3080.42,-2.5200,-0.3414,1.8167,-2.9704,296468125.0,3951.0,3738.0,9410.0,1496.0,16502.0,36722.0
2015-09-08,3170.45,2.9200,-0.8434,3.0609,-2.2497,255415475.0,4160.0,4507.0,10503.0,1936.0,15754.0,38437.0
2015-09-09,3243.09,2.2900,0.3816,2.7217,-0.1498,375327975.0,3375.0,4258.0,11207.0,1863.0,15079.0,37428.0
2015-09-10,3197.89,-1.3900,-1.6201,0.0059,-1.9793,273261750.0,3648.0,4461.0,12281.0,1847.0,13232.0,36927.0
2015-09-11,3200.23,0.0700,-0.2630,0.8090,-1.0770,224557825.0,4093.0,4538.0,9479.0,1610.0,13067.0,34002.0
2015-09-14,3114.8,-2.6700,0.6543,0.9140,-4.7184,346631150.0,5148.0,3936.0,9918.0,2155.0,17400.0,40464.0
2015-09-15,3005.17,-3.5200,-2.2794,-1.0627,-4.2019,249194450.0,7462.0,4953.0,11239.0,2924.0,18385.0,47677.0
2015-09-16,3152.26,4.8900,-0.2373,5.9151,-0.7198,277524525.0,5262.0,5007.0,10983.0,2281.0,17190.0,42908.0
2015-09-17,3086.06,-2.1000,-0.6433,1.6636,-2.1239,317602900.0,5552.0,5077.0,10101.0,2014.0,15186.0,39585.0
2015-09-18,3097.92,0.3800,0.4608,1.1662,-0.5094,209175400.0,4580.0,4020.0,8511.0,1649.0,12879.0,32934.0
2015-09-21,3156.54,1.8900,-0.8338,2.0001,-1.1963,239897350.0,3691.0,3999.0,9008.0,1569.0,15963.0,35785.0
2015-09-22,3185.62,0.9200,0.1514,1.8039,-0.1286,274786150.0,3594.0,3863.0,8564.0,1452.0,13544.0,32543.0
2015-09-23,3115.89,-2.1900,-1.5036,-0.6774,-2.5389,236322675.0,3933.0,3888.0,8768.0,1149.0,14715.0,34044.0
2015-09-24,3142.69,0.8600,0.3402,1.1319,-0.1990,212887725.0,3809.0,3644.0,8772.0,1198.0,12109.0,31002.0
2015-09-25,3092.35,-1.6000,-0.3767,0.2310,-2.5357,236263875.0,4033.0,3620.0,8111.0,1278.0,11290.0,29661.0
2015-09-28,3100.76,0.2700,-0.2193,0.3467,-1.6182,156727525.0,2871.0,3594.0,9177.0,1050.0,11194.0,28973.0
2015-09-29,3038.14,-2.0200,-1.4687,-1.0468,-2.5671,163222675.0,3428.0,3437.0,7717.0,1693.0,13200.0,31105.0
2015-09-30,3052.78,0.4800,0.4838,1.1573,0.0527,146642450.0,2826.0,3474.0,6372.0,962.0,9831.0,24600.0
2015-10-08,3143.36,2.9700,3.3835,3.9145,2.6320,234276050.0,2877.0,3569.0,8478.0,936.0,9932.0,26794.0
2015-10-09,3183.15,1.2700,0.1043,1.5703,-0.1772,234851450.0,2885.0,3451.0,8389.0,990.0,9887.0,26671.0
2015-10-12,3287.66,3.2800,0.3264,4.2587,0.1652,386294725.0,2929.0,3758.0,10880.0,1278.0,12475.0,32572.0
2015-10-13,3293.23,0.1700,-0.7756,0.3337,-1.0466,297153125.0,2478.0,3144.0,9808.0,1044.0,11016.0,28607.0
2015-10-14,3262.44,-0.9400,-0.4011,0.4278,-1.1229,295077750.0,2402.0,3370.0,10123.0,1269.0,12012.0,30613.0
2015-10-15,3338.07,2.3200,-0.2271,2.3253,-0.2467,316283850.0,2708.0,3768.0,12546.0,1255.0,10774.0,32532.0
2015-10-16,3391.35,1.6000,0.6060,1.6462,-0.0965,395460575.0,2819.0,3796.0,12640.0,1077.0,10449.0,32454.0
2015-10-19,3386.7,-0.1400,0.3031,0.9451,-1.0550,378112175.0,2627.0,3527.0,11939.0,1162.0,12579.0,33405.0
2015-10-20,3425.33,1.1400,-0.2702,1.1462,-0.8516,318973750.0,2501.0,3916.0,11988.0,1116.0,11596.0,32377.0
2015-10-21,3320.68,-3.0600,0.0943,0.6402,-4.6679,458455450.0,3767.0,4126.0,12412.0,1760.0,14229.0,38081.0
2015-10-22,3368.74,1.4500,-0.8549,1.5991,-1.1350,323739350.0,3261.0,4168.0,13234.0,1923.0,13619.0,37829.0
2015-10-23,3412.43,1.3000,0.2615,1.5816,-0.2529,347372850.0,3143.0,3943.0,10711.0,1768.0,10945.0,31805.0
2015-10-26,3429.58,0.5000,1.0614,1.3213,-0.3056,365560850.0,2878.0,3980.0,13528.0,1178.0,12329.0,35001.0
2015-10-27,3434.34,0.1400,-0.5960,0.3496,-2.8272,328172775.0,4901.0,4691.0,12275.0,1537.0,12258.0,36972.0
2015-10-28,3375.2,-1.7200,-0.5046,0.1578,-1.9541,293523275.0,3253.0,4261.0,10736.0,1206.0,11217.0,31904.0
2015-10-29,3387.32,0.3600,0.3724,1.0817,-0.3760,235676025.0,3283.0,3846.0,9606.0,1122.0,12232.0,31237.0
2015-10-30,3382.56,-0.1400,-0.2078,0.8821,-1.2024,243595125.0,3381.0,3677.0,10311.0,1019.0,11042.0,30561.0
2015-11-02,3325.08,-1.7000,-1.3298,0.2513,-1.7812,230951125.0,5838.0,4136.0,12820.0,1491.0,14193.0,39971.0
2015-11-03,3316.7,-0.2500,0.1576,0.6373,-0.6887,192897425.0,3695.0,3875.0,10259.0,1055.0,12252.0,32312.0
2015-11-04,3459.64,4.3100,0.2689,4.3100,0.2689,339078725.0,3371.0,4191.0,12687.0,1174.0,12537.0,35279.0
2015-11-05,3522.82,1.8300,-0.0121,3.6426,-0.1188,553254950.0,3809.0,4473.0,13151.0,1326.0,12451.0,36641.0
2015-11-06,3590.03,1.9100,-0.2379,2.0881,-0.3971,429167050.0,4454.0,5410.0,19051.0,1500.0,12299.0,43982.0
